Department Name;Strategic Goal;Measure Title;Measure Description;Measure Methodology;Measure Data Type;Fiscal Year;End Calendar Year;Target;Mid-Year Result;Mid-Year Projection;Full-Year Result;Data Notes
ELECTIONS;Implement an accessible vote-by-mail system;Vote-by-mail turnout as a percentage of total turnout;Vote-by-mail turnout as a percentage of total turnout. The year-end value is an average of the values from each election in the fiscal year.;Source: The Official Statement of Votes (SOV), the final post-election document that contains registration and vote totals for an election. Collection Method: For the SOV, registration data is extracted from the Election Information Management System (EIMS) and vote data is extracted from the voting system's WinEDS software. The numerator is the total number of vote-by-mail ballots cast in an election and the denominator is the total turnout in the election. In the Peformance Measurement System, values are entered for individual elections and the metric calculation is set to average these values across the fiscal year. Collection Frequency: The SOV is produced by the Department after an election is certified.;Percent;FY2017-18;2018;0.6;0;0.6;0.65;
ELECTIONS;Implement an accessible vote-by-mail system;Vote-by-mail turnout as a percentage of total turnout;Vote-by-mail turnout as a percentage of total turnout. The year-end value is an average of the values from each election in the fiscal year.;Source: The Official Statement of Votes (SOV), the final post-election document that contains registration and vote totals for an election. Collection Method: For the SOV, registration data is extracted from the Election Information Management System (EIMS) and vote data is extracted from the voting system's WinEDS software. The numerator is the total number of vote-by-mail ballots cast in an election and the denominator is the total turnout in the election. In the Peformance Measurement System, values are entered for individual elections and the metric calculation is set to average these values across the fiscal year. Collection Frequency: The SOV is produced by the Department after an election is certified.;Percent;FY2018-19;2019;0.61;0.65;0.65;0.65;
ELECTIONS;Implement an accessible vote-by-mail system;Vote-by-mail turnout as a percentage of total turnout;Vote-by-mail turnout as a percentage of total turnout. The year-end value is an average of the values from each election in the fiscal year.;Source: The Official Statement of Votes (SOV), the final post-election document that contains registration and vote totals for an election. Collection Method: For the SOV, registration data is extracted from the Election Information Management System (EIMS) and vote data is extracted from the voting system's WinEDS software. The numerator is the total number of vote-by-mail ballots cast in an election and the denominator is the total turnout in the election. In the Peformance Measurement System, values are entered for individual elections and the metric calculation is set to average these values across the fiscal year. Collection Frequency: The SOV is produced by the Department after an election is certified.;Percent;FY2019-20;2020;0.6;;;0.46;
ELECTIONS;Implement an accessible vote-by-mail system;Vote-by-mail turnout as a percentage of total turnout;Vote-by-mail turnout as a percentage of total turnout. The year-end value is an average of the values from each election in the fiscal year.;Source: The Official Statement of Votes (SOV), the final post-election document that contains registration and vote totals for an election. Collection Method: For the SOV, registration data is extracted from the Election Information Management System (EIMS) and vote data is extracted from the voting system's WinEDS software. The numerator is the total number of vote-by-mail ballots cast in an election and the denominator is the total turnout in the election. In the Peformance Measurement System, values are entered for individual elections and the metric calculation is set to average these values across the fiscal year. Collection Frequency: The SOV is produced by the Department after an election is certified.;Percent;FY2020-21;2021;0.61;0.91;0.91;0.91;
ELECTIONS;Implement an accessible vote-by-mail system;Vote-by-mail turnout as a percentage of total turnout;Vote-by-mail turnout as a percentage of total turnout. The year-end value is an average of the values from each election in the fiscal year.;Source: The Official Statement of Votes (SOV), the final post-election document that contains registration and vote totals for an election. Collection Method: For the SOV, registration data is extracted from the Election Information Management System (EIMS) and vote data is extracted from the voting system's WinEDS software. The numerator is the total number of vote-by-mail ballots cast in an election and the denominator is the total turnout in the election. In the Peformance Measurement System, values are entered for individual elections and the metric calculation is set to average these values across the fiscal year. Collection Frequency: The SOV is produced by the Department after an election is certified.;Percent;FY2021-22;2022;0.85;;;;
ELECTIONS;Implement an accessible vote-by-mail system;Vote-by-mail turnout as a percentage of total turnout;Vote-by-mail turnout as a percentage of total turnout. The year-end value is an average of the values from each election in the fiscal year.;Source: The Official Statement of Votes (SOV), the final post-election document that contains registration and vote totals for an election. Collection Method: For the SOV, registration data is extracted from the Election Information Management System (EIMS) and vote data is extracted from the voting system's WinEDS software. The numerator is the total number of vote-by-mail ballots cast in an election and the denominator is the total turnout in the election. In the Peformance Measurement System, values are entered for individual elections and the metric calculation is set to average these values across the fiscal year. Collection Frequency: The SOV is produced by the Department after an election is certified.;Percent;FY2022-23;2023;0.85;;;;
EMERGENCY MANAGEMENT;Create a Thriving Workforce;Number of new dispatchers successfully completing the training program;Ensure trainees successfully complete training - Emergency Call Taking and Radio Dispatching training.;Collection Method:  DEC's Training Unit. Timing:  Monthly;Numeric;FY2017-18;2018;45;;25;28;
EMERGENCY MANAGEMENT;Create a Thriving Workforce;Number of new dispatchers successfully completing the training program;Ensure trainees successfully complete training - Emergency Call Taking and Radio Dispatching training.;Collection Method:  DEC's Training Unit. Timing:  Monthly;Numeric;FY2018-19;2019;30;16;26;24;
EMERGENCY MANAGEMENT;Create a Thriving Workforce;Number of new dispatchers successfully completing the training program;Ensure trainees successfully complete training - Emergency Call Taking and Radio Dispatching training.;Collection Method:  DEC's Training Unit. Timing:  Monthly;Numeric;FY2019-20;2020;30;;;12;
EMERGENCY MANAGEMENT;Create a Thriving Workforce;Number of new dispatchers successfully completing the training program;Ensure trainees successfully complete training - Emergency Call Taking and Radio Dispatching training.;Collection Method:  DEC's Training Unit. Timing:  Monthly;Numeric;FY2020-21;2021;30;2;2;7;
EMERGENCY MANAGEMENT;Create a Thriving Workforce;Number of new dispatchers successfully completing the training program;Ensure trainees successfully complete training - Emergency Call Taking and Radio Dispatching training.;Collection Method:  DEC's Training Unit. Timing:  Monthly;Numeric;FY2021-22;2022;0;;;;
EMERGENCY MANAGEMENT;Create a Thriving Workforce;Number of new dispatchers successfully completing the training program;Ensure trainees successfully complete training - Emergency Call Taking and Radio Dispatching training.;Collection Method:  DEC's Training Unit. Timing:  Monthly;Numeric;FY2022-23;2023;18;;;;
EMERGENCY MANAGEMENT;Create a Thriving Workforce;Percentage of fully qualified staff maintaining continuing education requirements.;"To maintain mandatory certification as Emergency Medical and Emergency Fire Dispatchers, operations personnel must complete 36 hours of Continuing Dispatch Education (CDE's) training in various medical and fire service categories biannually.  Additionally, the Department of Justice's Commission on Peace Officer Standards and Training (P.O.S.T.) Regulations require operations personnel to complete 24 hours of Continuing Professional Training (CPT's).  DEM projects to have all staff complete half of their requirements each year to keep up with requirements.   8/22/14 Update: Definition will be changed to ""To maintain mandatory certification as Emergency Medical and Emergency Fire Dispatchers, operations personnel must complete 36 hours of Continuing Dispatch Education (CDE's) training in various medical and fire service categories biannually.  DEM projects to have all staff complete half of their requirements each year to keep up with requirements.""";Collection Method: DEM's Training Unit. Timing:  Monthly;Percent;FY2017-18;2018;0.5;;0.5;0.18;
EMERGENCY MANAGEMENT;Create a Thriving Workforce;Percentage of fully qualified staff maintaining continuing education requirements.;"To maintain mandatory certification as Emergency Medical and Emergency Fire Dispatchers, operations personnel must complete 36 hours of Continuing Dispatch Education (CDE's) training in various medical and fire service categories biannually.  Additionally, the Department of Justice's Commission on Peace Officer Standards and Training (P.O.S.T.) Regulations require operations personnel to complete 24 hours of Continuing Professional Training (CPT's).  DEM projects to have all staff complete half of their requirements each year to keep up with requirements.   8/22/14 Update: Definition will be changed to ""To maintain mandatory certification as Emergency Medical and Emergency Fire Dispatchers, operations personnel must complete 36 hours of Continuing Dispatch Education (CDE's) training in various medical and fire service categories biannually.  DEM projects to have all staff complete half of their requirements each year to keep up with requirements.""";Collection Method: DEM's Training Unit. Timing:  Monthly;Percent;FY2018-19;2019;0.5;0.5;0.5;0.5;
EMERGENCY MANAGEMENT;Create a Thriving Workforce;Percentage of fully qualified staff maintaining continuing education requirements.;"To maintain mandatory certification as Emergency Medical and Emergency Fire Dispatchers, operations personnel must complete 36 hours of Continuing Dispatch Education (CDE's) training in various medical and fire service categories biannually.  Additionally, the Department of Justice's Commission on Peace Officer Standards and Training (P.O.S.T.) Regulations require operations personnel to complete 24 hours of Continuing Professional Training (CPT's).  DEM projects to have all staff complete half of their requirements each year to keep up with requirements.   8/22/14 Update: Definition will be changed to ""To maintain mandatory certification as Emergency Medical and Emergency Fire Dispatchers, operations personnel must complete 36 hours of Continuing Dispatch Education (CDE's) training in various medical and fire service categories biannually.  DEM projects to have all staff complete half of their requirements each year to keep up with requirements.""";Collection Method: DEM's Training Unit. Timing:  Monthly;Percent;FY2019-20;2020;0.5;;;;
EMERGENCY MANAGEMENT;Create a Thriving Workforce;Percentage of fully qualified staff maintaining continuing education requirements.;"To maintain mandatory certification as Emergency Medical and Emergency Fire Dispatchers, operations personnel must complete 36 hours of Continuing Dispatch Education (CDE's) training in various medical and fire service categories biannually.  Additionally, the Department of Justice's Commission on Peace Officer Standards and Training (P.O.S.T.) Regulations require operations personnel to complete 24 hours of Continuing Professional Training (CPT's).  DEM projects to have all staff complete half of their requirements each year to keep up with requirements.   8/22/14 Update: Definition will be changed to ""To maintain mandatory certification as Emergency Medical and Emergency Fire Dispatchers, operations personnel must complete 36 hours of Continuing Dispatch Education (CDE's) training in various medical and fire service categories biannually.  DEM projects to have all staff complete half of their requirements each year to keep up with requirements.""";Collection Method: DEM's Training Unit. Timing:  Monthly;Percent;FY2020-21;2021;0.5;;;0.5;Staff must complete 24 hours of continued education over a 2 year period. Current cycle is Jan 2021 -Dec 2022.
EMERGENCY MANAGEMENT;Create a Thriving Workforce;Percentage of fully qualified staff maintaining continuing education requirements.;"To maintain mandatory certification as Emergency Medical and Emergency Fire Dispatchers, operations personnel must complete 36 hours of Continuing Dispatch Education (CDE's) training in various medical and fire service categories biannually.  Additionally, the Department of Justice's Commission on Peace Officer Standards and Training (P.O.S.T.) Regulations require operations personnel to complete 24 hours of Continuing Professional Training (CPT's).  DEM projects to have all staff complete half of their requirements each year to keep up with requirements.   8/22/14 Update: Definition will be changed to ""To maintain mandatory certification as Emergency Medical and Emergency Fire Dispatchers, operations personnel must complete 36 hours of Continuing Dispatch Education (CDE's) training in various medical and fire service categories biannually.  DEM projects to have all staff complete half of their requirements each year to keep up with requirements.""";Collection Method: DEM's Training Unit. Timing:  Monthly;Percent;FY2021-22;2022;;;;;
EMERGENCY MANAGEMENT;Create a Thriving Workforce;Percentage of fully qualified staff maintaining continuing education requirements.;"To maintain mandatory certification as Emergency Medical and Emergency Fire Dispatchers, operations personnel must complete 36 hours of Continuing Dispatch Education (CDE's) training in various medical and fire service categories biannually.  Additionally, the Department of Justice's Commission on Peace Officer Standards and Training (P.O.S.T.) Regulations require operations personnel to complete 24 hours of Continuing Professional Training (CPT's).  DEM projects to have all staff complete half of their requirements each year to keep up with requirements.   8/22/14 Update: Definition will be changed to ""To maintain mandatory certification as Emergency Medical and Emergency Fire Dispatchers, operations personnel must complete 36 hours of Continuing Dispatch Education (CDE's) training in various medical and fire service categories biannually.  DEM projects to have all staff complete half of their requirements each year to keep up with requirements.""";Collection Method: DEM's Training Unit. Timing:  Monthly;Percent;FY2022-23;2023;;;;;
EMERGENCY MANAGEMENT;Create a Thriving Workforce;Percentage of staff that have at least one professional certification;;;Percent;FY2017-18;2018;0.4;;0.4;0.5;
EMERGENCY MANAGEMENT;Create a Thriving Workforce;Percentage of staff that have at least one professional certification;;;Percent;FY2018-19;2019;0.4;0.9;0.9;0.9;
EMERGENCY MANAGEMENT;Create a Thriving Workforce;Percentage of staff that have at least one professional certification;;;Percent;FY2019-20;2020;0.9;;;0.9;
EMERGENCY MANAGEMENT;Create a Thriving Workforce;Percentage of staff that have at least one professional certification;;;Percent;FY2020-21;2021;0.9;0.9;0.9;0.9;
EMERGENCY MANAGEMENT;Create a Thriving Workforce;Percentage of staff that have at least one professional certification;;;Percent;FY2021-22;2022;0.9;;;;
EMERGENCY MANAGEMENT;Create a Thriving Workforce;Percentage of staff that have at least one professional certification;;;Percent;FY2022-23;2023;0.9;;;;
EMERGENCY MANAGEMENT;Educate & Engage Communities;Number of preparedness presentations made;DES provides emergency preparedness training to community groups, from neighborhood associations to corporate volunteer councils.;DES maintains records of the organization and number of attendees to which presentations are given and reprots the number of presentations twice annually.;Numeric;FY2017-18;2018;30;;20;40;
EMERGENCY MANAGEMENT;Educate & Engage Communities;Number of preparedness presentations made;DES provides emergency preparedness training to community groups, from neighborhood associations to corporate volunteer councils.;DES maintains records of the organization and number of attendees to which presentations are given and reprots the number of presentations twice annually.;Numeric;FY2018-19;2019;30;36;54;52;
EMERGENCY MANAGEMENT;Educate & Engage Communities;Number of preparedness presentations made;DES provides emergency preparedness training to community groups, from neighborhood associations to corporate volunteer councils.;DES maintains records of the organization and number of attendees to which presentations are given and reprots the number of presentations twice annually.;Numeric;FY2019-20;2020;40;;;230;
EMERGENCY MANAGEMENT;Educate & Engage Communities;Number of preparedness presentations made;DES provides emergency preparedness training to community groups, from neighborhood associations to corporate volunteer councils.;DES maintains records of the organization and number of attendees to which presentations are given and reprots the number of presentations twice annually.;Numeric;FY2020-21;2021;40;441;441;825;
EMERGENCY MANAGEMENT;Educate & Engage Communities;Number of preparedness presentations made;DES provides emergency preparedness training to community groups, from neighborhood associations to corporate volunteer councils.;DES maintains records of the organization and number of attendees to which presentations are given and reprots the number of presentations twice annually.;Numeric;FY2021-22;2022;52;;;;
EMERGENCY MANAGEMENT;Educate & Engage Communities;Number of preparedness presentations made;DES provides emergency preparedness training to community groups, from neighborhood associations to corporate volunteer councils.;DES maintains records of the organization and number of attendees to which presentations are given and reprots the number of presentations twice annually.;Numeric;FY2022-23;2023;52;;;;
EMERGENCY MANAGEMENT;Educate & Engage Communities;Percent of increase in number of AlertSF registrants;;;Percent;FY2017-18;2018;0.2;;0.2;1.46;
EMERGENCY MANAGEMENT;Educate & Engage Communities;Percent of increase in number of AlertSF registrants;;;Percent;FY2018-19;2019;0.2;0.34;0.34;0.23;
EMERGENCY MANAGEMENT;Educate & Engage Communities;Percent of increase in number of AlertSF registrants;;;Percent;FY2019-20;2020;0.2;;;0.32;
EMERGENCY MANAGEMENT;Educate & Engage Communities;Percent of increase in number of AlertSF registrants;;;Percent;FY2020-21;2021;0.2;0.16;0.16;0.18;183,662 AlertSF registrations reported during FY2020-21.
EMERGENCY MANAGEMENT;Educate & Engage Communities;Percent of increase in number of AlertSF registrants;;;Percent;FY2021-22;2022;0.1;;;;
EMERGENCY MANAGEMENT;Educate & Engage Communities;Percent of increase in number of AlertSF registrants;;;Percent;FY2022-23;2023;0.1;;;;
EMERGENCY MANAGEMENT;Educate & Engage Communities;Social Media Engagement, Hits, and Impressions as provided through various social media platforms and analytics;"DES provides emergency preparedness messaging to residents of San Francisco via Social Media channels. Replaced old measure ""Online and Social Media Engagement"" to make more clear.";DES will use various software mechanisms to calculate our online and social media reach with preparedness messaging.;Numeric;FY2017-18;2018;200000;32244500;13000000;35753100;
EMERGENCY MANAGEMENT;Educate & Engage Communities;Social Media Engagement, Hits, and Impressions as provided through various social media platforms and analytics;"DES provides emergency preparedness messaging to residents of San Francisco via Social Media channels. Replaced old measure ""Online and Social Media Engagement"" to make more clear.";DES will use various software mechanisms to calculate our online and social media reach with preparedness messaging.;Numeric;FY2018-19;2019;200000;6707629;8000000;11309140;
EMERGENCY MANAGEMENT;Educate & Engage Communities;Social Media Engagement, Hits, and Impressions as provided through various social media platforms and analytics;"DES provides emergency preparedness messaging to residents of San Francisco via Social Media channels. Replaced old measure ""Online and Social Media Engagement"" to make more clear.";DES will use various software mechanisms to calculate our online and social media reach with preparedness messaging.;Numeric;FY2019-20;2020;200000;;;22541323;
EMERGENCY MANAGEMENT;Educate & Engage Communities;Social Media Engagement, Hits, and Impressions as provided through various social media platforms and analytics;"DES provides emergency preparedness messaging to residents of San Francisco via Social Media channels. Replaced old measure ""Online and Social Media Engagement"" to make more clear.";DES will use various software mechanisms to calculate our online and social media reach with preparedness messaging.;Numeric;FY2020-21;2021;200000;21623038;21623038;37137038;
EMERGENCY MANAGEMENT;Educate & Engage Communities;Social Media Engagement, Hits, and Impressions as provided through various social media platforms and analytics;"DES provides emergency preparedness messaging to residents of San Francisco via Social Media channels. Replaced old measure ""Online and Social Media Engagement"" to make more clear.";DES will use various software mechanisms to calculate our online and social media reach with preparedness messaging.;Numeric;FY2021-22;2022;400000;;;;
EMERGENCY MANAGEMENT;Educate & Engage Communities;Social Media Engagement, Hits, and Impressions as provided through various social media platforms and analytics;"DES provides emergency preparedness messaging to residents of San Francisco via Social Media channels. Replaced old measure ""Online and Social Media Engagement"" to make more clear.";DES will use various software mechanisms to calculate our online and social media reach with preparedness messaging.;Numeric;FY2022-23;2023;400000;;;;
EMERGENCY MANAGEMENT;Ensure a Prepared & Resilient City;Number of exercises led by DES staff;DES conducts a wide range of exercises to fit the training needs of city employees.  These exercises may be discussion based or operation based.;DBE are conducted on a regular basis, ranging from Workshops that are an informal learning environment In each type of exercise, documentation regarding date, type of exercise, and number of participants are maintained in an XL file by DEM.  Improvement items identified during the exercise will be tracked in the Master Improvement Plan.  The number of exercises will be reported bi-annually.;Numeric;FY2017-18;2018;23;;8;10;
EMERGENCY MANAGEMENT;Ensure a Prepared & Resilient City;Number of exercises led by DES staff;DES conducts a wide range of exercises to fit the training needs of city employees.  These exercises may be discussion based or operation based.;DBE are conducted on a regular basis, ranging from Workshops that are an informal learning environment In each type of exercise, documentation regarding date, type of exercise, and number of participants are maintained in an XL file by DEM.  Improvement items identified during the exercise will be tracked in the Master Improvement Plan.  The number of exercises will be reported bi-annually.;Numeric;FY2018-19;2019;23;9;13;23;
EMERGENCY MANAGEMENT;Ensure a Prepared & Resilient City;Number of exercises led by DES staff;DES conducts a wide range of exercises to fit the training needs of city employees.  These exercises may be discussion based or operation based.;DBE are conducted on a regular basis, ranging from Workshops that are an informal learning environment In each type of exercise, documentation regarding date, type of exercise, and number of participants are maintained in an XL file by DEM.  Improvement items identified during the exercise will be tracked in the Master Improvement Plan.  The number of exercises will be reported bi-annually.;Numeric;FY2019-20;2020;23;;;10;
EMERGENCY MANAGEMENT;Ensure a Prepared & Resilient City;Number of exercises led by DES staff;DES conducts a wide range of exercises to fit the training needs of city employees.  These exercises may be discussion based or operation based.;DBE are conducted on a regular basis, ranging from Workshops that are an informal learning environment In each type of exercise, documentation regarding date, type of exercise, and number of participants are maintained in an XL file by DEM.  Improvement items identified during the exercise will be tracked in the Master Improvement Plan.  The number of exercises will be reported bi-annually.;Numeric;FY2020-21;2021;23;3;3;5;
EMERGENCY MANAGEMENT;Ensure a Prepared & Resilient City;Number of exercises led by DES staff;DES conducts a wide range of exercises to fit the training needs of city employees.  These exercises may be discussion based or operation based.;DBE are conducted on a regular basis, ranging from Workshops that are an informal learning environment In each type of exercise, documentation regarding date, type of exercise, and number of participants are maintained in an XL file by DEM.  Improvement items identified during the exercise will be tracked in the Master Improvement Plan.  The number of exercises will be reported bi-annually.;Numeric;FY2021-22;2022;15;;;;
EMERGENCY MANAGEMENT;Ensure a Prepared & Resilient City;Number of exercises led by DES staff;DES conducts a wide range of exercises to fit the training needs of city employees.  These exercises may be discussion based or operation based.;DBE are conducted on a regular basis, ranging from Workshops that are an informal learning environment In each type of exercise, documentation regarding date, type of exercise, and number of participants are maintained in an XL file by DEM.  Improvement items identified during the exercise will be tracked in the Master Improvement Plan.  The number of exercises will be reported bi-annually.;Numeric;FY2022-23;2023;15;;;;
EMERGENCY MANAGEMENT;Ensure a Prepared & Resilient City;Number of new emergency plans developed or existing emergency plans revised in the last 3 years;"Completion of new plans or revision of existing plans where DES is the primary author. Replaced the old measure ""Number of DES plans completed or revised,"" but what is tracked is still the same.";DES tracks plan initiation and revision in an XL spreadsheet.  This number will be reported bi-annually.;Numeric;FY2017-18;2018;4;;;4;
EMERGENCY MANAGEMENT;Ensure a Prepared & Resilient City;Number of new emergency plans developed or existing emergency plans revised in the last 3 years;"Completion of new plans or revision of existing plans where DES is the primary author. Replaced the old measure ""Number of DES plans completed or revised,"" but what is tracked is still the same.";DES tracks plan initiation and revision in an XL spreadsheet.  This number will be reported bi-annually.;Numeric;FY2018-19;2019;6;0;1;3;
EMERGENCY MANAGEMENT;Ensure a Prepared & Resilient City;Number of new emergency plans developed or existing emergency plans revised in the last 3 years;"Completion of new plans or revision of existing plans where DES is the primary author. Replaced the old measure ""Number of DES plans completed or revised,"" but what is tracked is still the same.";DES tracks plan initiation and revision in an XL spreadsheet.  This number will be reported bi-annually.;Numeric;FY2019-20;2020;6;;;4;
EMERGENCY MANAGEMENT;Ensure a Prepared & Resilient City;Number of new emergency plans developed or existing emergency plans revised in the last 3 years;"Completion of new plans or revision of existing plans where DES is the primary author. Replaced the old measure ""Number of DES plans completed or revised,"" but what is tracked is still the same.";DES tracks plan initiation and revision in an XL spreadsheet.  This number will be reported bi-annually.;Numeric;FY2020-21;2021;6;2;2;3;
EMERGENCY MANAGEMENT;Ensure a Prepared & Resilient City;Number of new emergency plans developed or existing emergency plans revised in the last 3 years;"Completion of new plans or revision of existing plans where DES is the primary author. Replaced the old measure ""Number of DES plans completed or revised,"" but what is tracked is still the same.";DES tracks plan initiation and revision in an XL spreadsheet.  This number will be reported bi-annually.;Numeric;FY2021-22;2022;6;;;;
EMERGENCY MANAGEMENT;Ensure a Prepared & Resilient City;Number of new emergency plans developed or existing emergency plans revised in the last 3 years;"Completion of new plans or revision of existing plans where DES is the primary author. Replaced the old measure ""Number of DES plans completed or revised,"" but what is tracked is still the same.";DES tracks plan initiation and revision in an XL spreadsheet.  This number will be reported bi-annually.;Numeric;FY2022-23;2023;6;;;;
EMERGENCY MANAGEMENT;Ensure a Prepared & Resilient City;Number of training courses led by DES staff;;;Numeric;FY2017-18;2018;;;;20;
EMERGENCY MANAGEMENT;Ensure a Prepared & Resilient City;Number of training courses led by DES staff;;;Numeric;FY2018-19;2019;;10;10;8;
EMERGENCY MANAGEMENT;Ensure a Prepared & Resilient City;Number of training courses led by DES staff;;;Numeric;FY2019-20;2020;20;;;15;
EMERGENCY MANAGEMENT;Ensure a Prepared & Resilient City;Number of training courses led by DES staff;;;Numeric;FY2020-21;2021;10;5;5;15;
EMERGENCY MANAGEMENT;Ensure a Prepared & Resilient City;Number of training courses led by DES staff;;;Numeric;FY2021-22;2022;10;;;;
EMERGENCY MANAGEMENT;Ensure a Prepared & Resilient City;Number of training courses led by DES staff;;;Numeric;FY2022-23;2023;10;;;;
EMERGENCY MANAGEMENT;Ensure a Prepared & Resilient City;Percent of staff that are certified in at least one IMT position;;;Percent;FY2017-18;2018;0.05;;0.05;0;
EMERGENCY MANAGEMENT;Ensure a Prepared & Resilient City;Percent of staff that are certified in at least one IMT position;;;Percent;FY2018-19;2019;0.05;0;0;0;
EMERGENCY MANAGEMENT;Ensure a Prepared & Resilient City;Percent of staff that are certified in at least one IMT position;;;Percent;FY2019-20;2020;0.05;;;0;
EMERGENCY MANAGEMENT;Ensure a Prepared & Resilient City;Percent of staff that are certified in at least one IMT position;;;Percent;FY2020-21;2021;0.05;0;0;0;
EMERGENCY MANAGEMENT;Ensure a Prepared & Resilient City;Percent of staff that are certified in at least one IMT position;;;Percent;FY2021-22;2022;0;;;;
EMERGENCY MANAGEMENT;Ensure a Prepared & Resilient City;Percent of staff that are certified in at least one IMT position;;;Percent;FY2022-23;2023;0;;;;
EMERGENCY MANAGEMENT;Invest in the 911 Center;Average daily emergency call volume;;;Numeric;FY2017-18;2018;;1990;1912;1970;
EMERGENCY MANAGEMENT;Invest in the 911 Center;Average daily emergency call volume;;;Numeric;FY2018-19;2019;;1932;1932;1928;
EMERGENCY MANAGEMENT;Invest in the 911 Center;Average daily emergency call volume;;;Numeric;FY2019-20;2020;;;;1878;
EMERGENCY MANAGEMENT;Invest in the 911 Center;Average daily emergency call volume;;;Numeric;FY2020-21;2021;;1625;1652;1646;
EMERGENCY MANAGEMENT;Invest in the 911 Center;Average daily emergency call volume;;;Numeric;FY2021-22;2022;1900;;;;
EMERGENCY MANAGEMENT;Invest in the 911 Center;Average daily emergency call volume;;;Numeric;FY2022-23;2023;1900;;;;
EMERGENCY MANAGEMENT;Invest in the 911 Center;Average time (in minutes) from received to dispatch of Code 3 medical calls;The goal for received to dispatch for code 3 medical calls is 2 minutes.;Collection Method: Data is retrieved from CARS (CAD Activity Reporting System).  Data is based on information collected from 01/01/08-12/31/08. (CARS: Computer Area reporting system;;;;;;;;
EMERGENCY MANAGEMENT;Invest in the 911 Center;Average time (in minutes) from received to dispatch of Code 3 medical calls;The goal for received to dispatch for code 3 medical calls is 2 minutes.;Collection Method: Data is retrieved from CARS (CAD Activity Reporting System).  Data is based on information collected from 01/01/08-12/31/08. (CARS: Computer Area reporting system;;;;;;;;
EMERGENCY MANAGEMENT;Invest in the 911 Center;Average time (in minutes) from received to dispatch of Code 3 medical calls;The goal for received to dispatch for code 3 medical calls is 2 minutes.;Collection Method: Data is retrieved from CARS (CAD Activity Reporting System).  Data is based on information collected from 01/01/08-12/31/08. (CARS: Computer Area reporting system;;;;;;;;
EMERGENCY MANAGEMENT;Invest in the 911 Center;Average time (in minutes) from received to dispatch of Code 3 medical calls;The goal for received to dispatch for code 3 medical calls is 2 minutes.;Collection Method: Data is retrieved from CARS (CAD Activity Reporting System).  Data is based on information collected from 01/01/08-12/31/08. (CARS: Computer Area reporting system;;;;;;;;
EMERGENCY MANAGEMENT;Invest in the 911 Center;Average time (in minutes) from received to dispatch of Code 3 medical calls;The goal for received to dispatch for code 3 medical calls is 2 minutes.;Collection Method: Data is retrieved from CARS (CAD Activity Reporting System).  Data is based on information collected from 01/01/08-12/31/08. (CARS: Computer Area reporting system;;;;;;;;
EMERGENCY MANAGEMENT;Invest in the 911 Center;Average time (in minutes) from received to dispatch of Code 3 medical calls;The goal for received to dispatch for code 3 medical calls is 2 minutes.;Collection Method: Data is retrieved from CARS (CAD Activity Reporting System).  Data is based on information collected from 01/01/08-12/31/08. (CARS: Computer Area reporting system;;;;;;;;
EMERGENCY MANAGEMENT;Invest in the 911 Center;"Percentage of emergency calls answered within 10 seconds (""Ring Time"")";"Percentage of emergency calls answered within 10 seconds (""Ring Time"")";Collection Method: Monthly data is retrieved from Symposium Contact Center Manager. All data in a year combined to determine the rate. Timing:  Monthly;Percent;FY2017-18;2018;0.9;0.81;0.85;0.84;
EMERGENCY MANAGEMENT;Invest in the 911 Center;"Percentage of emergency calls answered within 10 seconds (""Ring Time"")";"Percentage of emergency calls answered within 10 seconds (""Ring Time"")";Collection Method: Monthly data is retrieved from Symposium Contact Center Manager. All data in a year combined to determine the rate. Timing:  Monthly;Percent;FY2018-19;2019;0.9;0.9;0.9;0.902;
EMERGENCY MANAGEMENT;Invest in the 911 Center;"Percentage of emergency calls answered within 10 seconds (""Ring Time"")";"Percentage of emergency calls answered within 10 seconds (""Ring Time"")";Collection Method: Monthly data is retrieved from Symposium Contact Center Manager. All data in a year combined to determine the rate. Timing:  Monthly;Percent;FY2019-20;2020;0.9;;;0.93;
EMERGENCY MANAGEMENT;Invest in the 911 Center;"Percentage of emergency calls answered within 10 seconds (""Ring Time"")";"Percentage of emergency calls answered within 10 seconds (""Ring Time"")";Collection Method: Monthly data is retrieved from Symposium Contact Center Manager. All data in a year combined to determine the rate. Timing:  Monthly;Percent;FY2020-21;2021;0.9;0.91;0.91;0.914;
EMERGENCY MANAGEMENT;Invest in the 911 Center;"Percentage of emergency calls answered within 10 seconds (""Ring Time"")";"Percentage of emergency calls answered within 10 seconds (""Ring Time"")";Collection Method: Monthly data is retrieved from Symposium Contact Center Manager. All data in a year combined to determine the rate. Timing:  Monthly;Percent;FY2021-22;2022;0.9;;;;
EMERGENCY MANAGEMENT;Invest in the 911 Center;"Percentage of emergency calls answered within 10 seconds (""Ring Time"")";"Percentage of emergency calls answered within 10 seconds (""Ring Time"")";Collection Method: Monthly data is retrieved from Symposium Contact Center Manager. All data in a year combined to determine the rate. Timing:  Monthly;Percent;FY2022-23;2023;0.9;;;;
EMERGENCY MANAGEMENT;Invest in the 911 Center;"Percentage of emergency calls answered within 15 seconds (""Answer Time"")";"Percentage of emergency calls answered within 15 seconds (""Answer Time"")";;Percent;FY2017-18;2018;0.95;0.85;0.88;;
